date,ticker,asset_class,close,currency
2020-02-13,EUNL.DE,ETF,60.16999816894531,EUR
2020-02-14,EUNL.DE,ETF,60.15999984741211,EUR
2020-02-18,EUNL.DE,ETF,59.97800064086914,EUR
2020-02-19,EUNL.DE,ETF,60.55199813842773,EUR
2020-02-20,EUNL.DE,ETF,59.89599990844727,EUR
2020-02-21,EUNL.DE,ETF,59.51399993896485,EUR
2020-02-24,EUNL.DE,ETF,57.50400161743164,EUR
2020-02-25,EUNL.DE,ETF,56.52399826049805,EUR
2020-02-26,EUNL.DE,ETF,56.33399963378906,EUR
2020-02-27,EUNL.DE,ETF,53.928001403808594,EUR
2020-02-28,EUNL.DE,ETF,51.71200180053711,EUR
2020-03-02,EUNL.DE,ETF,52.4379997253418,EUR
2020-03-03,EUNL.DE,ETF,52.86600112915039,EUR
2020-03-04,EUNL.DE,ETF,53.36199951171875,EUR
2020-03-05,EUNL.DE,ETF,53.02199935913086,EUR
2020-03-06,EUNL.DE,ETF,50.73199844360352,EUR
2020-03-09,EUNL.DE,ETF,47.20000076293945,EUR
2020-03-10,EUNL.DE,ETF,47.06399917602539,EUR
2020-03-11,EUNL.DE,ETF,47.27399826049805,EUR
2020-03-12,EUNL.DE,ETF,42.7140007019043,EUR
2020-03-13,EUNL.DE,ETF,43.69300079345703,EUR
2020-03-16,EUNL.DE,ETF,42.422000885009766,EUR
2020-03-17,EUNL.DE,ETF,43.02999877929688,EUR
2020-03-18,EUNL.DE,ETF,41.37799835205078,EUR
2020-03-19,EUNL.DE,ETF,42.5359992980957,EUR
2020-03-20,EUNL.DE,ETF,42.540000915527344,EUR
2020-03-23,EUNL.DE,ETF,40.1870002746582,EUR
2020-03-24,EUNL.DE,ETF,43.4900016784668,EUR
2020-03-25,EUNL.DE,ETF,44.70500183105469,EUR
2020-03-26,EUNL.DE,ETF,45.560001373291016,EUR
2020-03-27,EUNL.DE,ETF,44.45700073242188,EUR
2020-03-30,EUNL.DE,ETF,45.310001373291016,EUR
2020-03-31,EUNL.DE,ETF,46.10900115966797,EUR
2020-04-01,EUNL.DE,ETF,44.24800109863281,EUR
2020-04-02,EUNL.DE,ETF,44.55899810791016,EUR
2020-04-03,EUNL.DE,ETF,44.354000091552734,EUR
2020-04-06,EUNL.DE,ETF,46.2859992980957,EUR
2020-04-07,EUNL.DE,ETF,47.7859992980957,EUR
2020-04-08,EUNL.DE,ETF,47.68899917602539,EUR
2020-04-09,EUNL.DE,ETF,48.6510009765625,EUR
2020-04-14,EUNL.DE,ETF,49.00600051879883,EUR
2020-04-15,EUNL.DE,ETF,48.19499969482422,EUR
2020-04-16,EUNL.DE,ETF,48.72999954223633,EUR
2020-04-17,EUNL.DE,ETF,49.41600036621094,EUR
2020-04-20,EUNL.DE,ETF,49.90499877929688,EUR
2020-04-21,EUNL.DE,ETF,47.80799865722656,EUR
2020-04-22,EUNL.DE,ETF,48.88999938964844,EUR
